refdes,pin,voltage,current
J1,1,47.9985,1.53704
J1,2,0.0,-1.53704
L2,2,12.1793,0.470174
IC4,11,0.179743,-0.08546609999999999
IC4,10,0.179743,-0.08546609999999999
IC4,9,0.179743,-0.08546609999999999
IC4,3,0.179743,-0.08546609999999999
L1,2,36.1784,1.8
R6,2,0.180156,-1.8000000027071301
R2,1,11.1612,-0.00111626
R2,2,0.000434426,0.00111589
R8,2,1.57926,-0.000908638
R8,1,0.180077,0.000908481
R12,2,1.38816,-9.81e-06
R12,1,0.179787,9.67986e-06
D3,1,-1.42338,-0.02
D3,2,0.180254,0.02
J4,1,12.1765,-0.15
J4,2,0.180265,0.15
J5,1,12.179,-0.15
J5,2,0.180195,0.15
J6,1,12.1783,-0.15
J6,2,0.180364,0.15
R10,2,1.78096,-0.000164009
R10,1,0.180255,0.000164004
J3,1,36.1765,-1.8
J3,2,0.18212,1.8
IC4,7,47.9729,-0.0628636
IC4,2,47.9783,-0.065444
IC2,2,47.9158,-1.4067
IC2,9,0.182167,0.695246
IC2,11,0.18063,0.711458
IC1,2,0.0010495,1.53592
IC1,3,0.179218,-1.53592
R1,2,47.9977,-0.00111626
R1,1,11.1612,0.00111626
FB2,2,47.9977,-0.128308
FB2,1,47.9785,0.128308
FB1,2,47.9914,-1.40761
FB1,1,47.9211,1.40761
R4,2,47.9199,-0.000908638
R4,1,1.57935,0.000908638
IC3,3,1.57935,-0.000908638
IC3,2,1.57927,0.000908638
R6,1,0.180156,2.70713e-09
R11,2,12.1792,-9.81e-06
R11,1,1.38816,9.81e-06
R14,1,12.1767,-0.02
R14,2,-1.42333,0.02
R7,1,12.1791,-0.000164009
R7,2,1.78096,0.000164009
