x,y,layer1,layer2,voltage1,voltage2,current
153.107,1214.22,TOP_LAYER,LAYER_1,12.179,12.179,5.04691e-11
153.107,1214.22,LAYER_1,LAYER_2,12.179,12.179,4.58393e-11
153.107,1214.22,LAYER_2,BOTTOM_LAYER,12.179,12.179,2.52345e-11
153.107,1314.22,TOP_LAYER,LAYER_1,0.180192,0.180179,0.182868
153.107,1314.22,LAYER_1,LAYER_2,0.180179,0.180109,0.182868
153.107,1314.22,LAYER_2,BOTTOM_LAYER,0.180109,0.1801,0.117361
153.107,2001.62,TOP_LAYER,LAYER_1,12.1765,12.1765,-0
153.107,2001.62,LAYER_1,LAYER_2,12.1765,12.1765,4.58393e-12
153.107,2001.62,LAYER_2,BOTTOM_LAYER,12.1765,12.1765,-2.52345e-11
153.107,2101.62,TOP_LAYER,LAYER_1,0.180262,0.180253,0.135511
153.107,2101.62,LAYER_1,LAYER_2,0.180253,0.1802,0.135511
153.107,2101.62,LAYER_2,BOTTOM_LAYER,0.1802,0.180194,0.0875681
394.895,1278.33,TOP_LAYER,LAYER_1,0.18006,0.18006,0.0124231
394.895,1278.33,LAYER_1,LAYER_2,0.18006,0.180056,0.0124231
394.895,1278.33,LAYER_2,BOTTOM_LAYER,0.180056,0.180056,0.00999644
394.895,1396.44,TOP_LAYER,LAYER_1,0.180073,0.180073,-0.000894893
394.895,1396.44,LAYER_1,LAYER_2,0.180073,0.180074,-0.000894893
394.895,1396.44,LAYER_2,BOTTOM_LAYER,0.180074,0.180074,0.000919224
402.052,70.3886,TOP_LAYER,LAYER_1,0.179781,0.17978,0.0106215
402.052,70.3886,LAYER_1,LAYER_2,0.17978,0.179772,0.0106215
402.052,70.3886,LAYER_2,BOTTOM_LAYER,0.179772,0.179772,0.00688859
402.052,129.444,TOP_LAYER,LAYER_1,0.179781,0.17978,0.0110937
402.052,129.444,LAYER_1,LAYER_2,0.17978,0.179772,0.0110937
402.052,129.444,LAYER_2,BOTTOM_LAYER,0.179772,0.179771,0.00712414
402.052,188.499,TOP_LAYER,LAYER_1,0.179783,0.179781,0.0157086
402.052,188.499,LAYER_1,LAYER_2,0.179781,0.17977,0.0157086
402.052,188.499,LAYER_2,BOTTOM_LAYER,0.17977,0.179768,0.00890034
425.674,790.861,TOP_LAYER,LAYER_1,0.179855,0.179854,0.00172081
425.674,790.861,LAYER_1,LAYER_2,0.179854,0.179853,0.00172081
425.674,790.861,LAYER_2,BOTTOM_LAYER,0.179853,0.179853,0.000462331
425.674,830.231,TOP_LAYER,LAYER_1,0.179859,0.17986,-0.00686896
425.674,830.231,LAYER_1,LAYER_2,0.17986,0.179865,-0.00686896
425.674,830.231,LAYER_2,BOTTOM_LAYER,0.179865,0.179865,-0.00435861
425.674,869.601,TOP_LAYER,LAYER_1,0.179863,0.179865,-0.0186076
425.674,869.601,LAYER_1,LAYER_2,0.179865,0.179878,-0.0186076
425.674,869.601,LAYER_2,BOTTOM_LAYER,0.179878,0.17988,-0.00984782
473.635,1219.28,TOP_LAYER,LAYER_1,0.180043,0.180042,0.0226207
473.635,1219.28,LAYER_1,LAYER_2,0.180042,0.180036,0.0226207
473.635,1219.28,LAYER_2,BOTTOM_LAYER,0.180036,0.180035,0.0196634
473.635,1337.39,TOP_LAYER,LAYER_1,0.180069,0.180069,0.00423463
473.635,1337.39,LAYER_1,LAYER_2,0.180069,0.180068,0.00423463
473.635,1337.39,LAYER_2,BOTTOM_LAYER,0.180068,0.180068,0.00440863
473.635,1455.5,TOP_LAYER,LAYER_1,0.18009,0.18009,-0.00296762
473.635,1455.5,LAYER_1,LAYER_2,0.18009,0.180091,-0.00296762
473.635,1455.5,LAYER_2,BOTTOM_LAYER,0.180091,0.180091,-0.00119618
473.635,1573.61,TOP_LAYER,LAYER_1,0.180108,0.180108,-0.00357866
473.635,1573.61,LAYER_1,LAYER_2,0.180108,0.180109,-0.00357866
473.635,1573.61,LAYER_2,BOTTOM_LAYER,0.180109,0.180109,-0.00161439
473.635,1691.72,TOP_LAYER,LAYER_1,0.180124,0.180124,-0.00142652
473.635,1691.72,LAYER_1,LAYER_2,0.180124,0.180124,-0.00142652
473.635,1691.72,LAYER_2,BOTTOM_LAYER,0.180124,0.180124,-0.000193741
473.635,1809.83,TOP_LAYER,LAYER_1,0.180137,0.180137,0.00116451
473.635,1809.83,LAYER_1,LAYER_2,0.180137,0.180137,0.00116451
473.635,1809.83,LAYER_2,BOTTOM_LAYER,0.180137,0.180137,0.00153679
473.635,1908.25,TOP_LAYER,LAYER_1,0.180146,0.180146,0.0062224
