refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,47.9985,1.53704,0
VCOMP0,VCOMP0-1,0,-1.53704,0
VCOMP10,VCOMP10-0,12.1793,0.470174,0
VCOMP10,VCOMP10-1,0.179743,-0.117543,0
VCOMP10,VCOMP10-2,0.179743,-0.117543,0
VCOMP10,VCOMP10-3,0.179743,-0.117543,0
VCOMP10,VCOMP10-4,0.179743,-0.117543,0
VCOMP12,VCOMP12-0,36.1784,1.8,0
VCOMP12,VCOMP12-1,0.180156,-1.8,0
VCOMP1,VCOMP1-0,11.1612,-0.00111626,5000
VCOMP1,VCOMP1-1,0.000434426,0.00111589,5000
VCOMP2,VCOMP2-0,1.57926,-0.000908638,770
VCOMP2,VCOMP2-1,0.180077,0.000908481,770
VCOMP3,VCOMP3-0,1.38816,-9.81e-06,62000
VCOMP3,VCOMP3-1,0.179787,9.67986e-06,62000
VCOMP4,VCOMP4-0,-1.42338,-0.02,5
VCOMP4,VCOMP4-1,0.180254,0.02,5
VCOMP5,VCOMP5-0,12.1765,-0.15,0.666667
VCOMP5,VCOMP5-1,0.180265,0.15,0.666667
VCOMP6,VCOMP6-0,12.179,-0.15,0.666667
VCOMP6,VCOMP6-1,0.180195,0.15,0.666667
VCOMP7,VCOMP7-0,12.1783,-0.15,0.666667
VCOMP7,VCOMP7-1,0.180364,0.15,0.666667
VCOMP8,VCOMP8-0,1.78096,-0.000164009,4880
VCOMP8,VCOMP8-1,0.180255,0.000164004,4880
VCOMP9,VCOMP9-0,36.1765,-1.8,0.0555556
VCOMP9,VCOMP9-1,0.18212,1.8,0.0555556
VCOMP11,VCOMP11-0,47.9729,-0.0628636,2.07834
VCOMP11,VCOMP11-1,47.9783,-0.065444,2.07834
VCOMP11,VCOMP11-2,0.179743,0.0320769,2.07834
VCOMP11,VCOMP11-3,0.179743,0.0320769,2.07834
VCOMP11,VCOMP11-4,0.179743,0.0320769,2.07834
VCOMP11,VCOMP11-5,0.179743,0.0320769,2.07834
VCOMP13,VCOMP13-0,47.9158,-1.4067,0.0947842
VCOMP13,VCOMP13-1,0.182167,0.695246,0.0947842
VCOMP13,VCOMP13-2,0.18063,0.711458,0.0947842
VCOMP14,VCOMP14-0,0.0010495,1.53592,0.058
VCOMP14,VCOMP14-1,0.179218,-1.53592,0.058
VCOMP15,VCOMP15-0,47.9977,-0.00111626,16500
VCOMP15,VCOMP15-1,11.1612,0.00111626,16500
VCOMP16,VCOMP16-0,47.9977,-0.128308,0.075
VCOMP16,VCOMP16-1,47.9785,0.128308,0.075
VCOMP17,VCOMP17-0,47.9914,-1.40761,0.025
VCOMP17,VCOMP17-1,47.9211,1.40761,0.025
VCOMP18,VCOMP18-0,47.9199,-0.000908638,25500
VCOMP18,VCOMP18-1,1.57935,0.000908638,25500
VCOMP19,VCOMP19-0,1.57935,-0.000908638,0.046
VCOMP19,VCOMP19-1,1.57927,0.000908638,0.046
VCOMP20,VCOMP20-0,0.180156,2.70713e-09,0.075
VCOMP20,VCOMP20-1,0.180156,-2.70713e-09,0.075
VCOMP21,VCOMP21-0,12.1792,-9.81e-06,550000
VCOMP21,VCOMP21-1,1.38816,9.81e-06,550000
VCOMP22,VCOMP22-0,12.1767,-0.02,340
VCOMP22,VCOMP22-1,-1.42333,0.02,340
VCOMP23,VCOMP23-0,12.1791,-0.000164009,31700
VCOMP23,VCOMP23-1,1.78096,0.000164009,31700
