x;y;layer1;layer2;voltage1;voltage2;current
153.107;1214.22;TOP_LAYER;LAYER_1;11.9992;11.9992;5.04691e-11
153.107;1214.22;LAYER_1;LAYER_2;11.9992;11.9992;4.58393e-11
153.107;1214.22;LAYER_2;BOTTOM_LAYER;11.9992;11.9992;2.52345e-11
153.107;1314.22;TOP_LAYER;LAYER_1;0.000360552;0.000346761;0.195908
153.107;1314.22;LAYER_1;LAYER_2;0.000346761;0.000270844;0.195908
153.107;1314.22;LAYER_2;BOTTOM_LAYER;0.000270844;0.000262034;0.125144
153.107;2001.62;TOP_LAYER;LAYER_1;11.9967;11.9967;-0
153.107;2001.62;LAYER_1;LAYER_2;11.9967;11.9967;-0
153.107;2001.62;LAYER_2;BOTTOM_LAYER;11.9967;11.9967;-0
153.107;2101.62;TOP_LAYER;LAYER_1;0.00036343;0.000353005;0.148103
153.107;2101.62;LAYER_1;LAYER_2;0.000353005;0.000295612;0.148103
153.107;2101.62;LAYER_2;BOTTOM_LAYER;0.000295612;0.000288875;0.0957089
394.895;1278.33;TOP_LAYER;LAYER_1;0.000201126;0.000201277;-0.00293515
394.895;1278.33;LAYER_1;LAYER_2;0.000201277;0.000202107;-0.00293515
394.895;1278.33;LAYER_2;BOTTOM_LAYER;0.000202107;0.000202143;-0.000690053
394.895;1396.44;TOP_LAYER;LAYER_1;0.000205244;0.000205645;-0.00779791
394.895;1396.44;LAYER_1;LAYER_2;0.000205645;0.000207852;-0.00779791
394.895;1396.44;LAYER_2;BOTTOM_LAYER;0.000207852;0.000208048;-0.00382901
402.052;70.3886;TOP_LAYER;LAYER_1;0.000144364;0.000144023;0.00260313
402.052;70.3886;LAYER_1;LAYER_2;0.000144023;0.000142148;0.00260313
402.052;70.3886;LAYER_2;BOTTOM_LAYER;0.000142148;0.000141925;0.00171119
402.052;129.444;TOP_LAYER;LAYER_1;0.00014441;0.000144051;0.00274432
402.052;129.444;LAYER_1;LAYER_2;0.000144051;0.000142074;0.00274432
402.052;129.444;LAYER_2;BOTTOM_LAYER;0.000142074;0.000141839;0.00179729
