vrefdes,vpin,refdes,pin
VCOMP0,0,J1,1
VCOMP0,1,J1,2
VCOMP1,0,R2,1
VCOMP1,1,R2,2
VCOMP2,0,R8,2
VCOMP2,1,R8,1
VCOMP3,0,R12,2
VCOMP3,1,R12,1
VCOMP4,0,D3,1
VCOMP4,1,D3,2
VCOMP5,0,J4,1
VCOMP5,1,J4,2
VCOMP6,0,J5,1
VCOMP6,1,J5,2
VCOMP7,0,J6,1
VCOMP7,1,J6,2
VCOMP8,0,R10,2
VCOMP8,1,R10,1
VCOMP9,0,J3,1
VCOMP9,1,J3,2
VCOMP10,0,L2,2
VCOMP10,1,IC4,11
VCOMP10,2,IC4,10
VCOMP10,3,IC4,9
VCOMP10,4,IC4,3
VCOMP11,0,IC4,7
VCOMP11,1,IC4,2
VCOMP11,2,IC4,11
VCOMP11,3,IC4,10
VCOMP11,4,IC4,9
VCOMP11,5,IC4,3
VCOMP12,0,L1,2
VCOMP12,1,R6,2
VCOMP13,0,IC2,2
VCOMP13,1,IC2,9
VCOMP13,2,IC2,11
VCOMP14,0,IC1,2
VCOMP14,1,IC1,3
VCOMP15,0,R1,2
VCOMP15,1,R1,1
VCOMP16,0,FB2,2
VCOMP16,1,FB2,1
VCOMP17,0,FB1,2
VCOMP17,1,FB1,1
VCOMP18,0,R4,2
VCOMP18,1,R4,1
VCOMP19,0,IC3,3
VCOMP19,1,IC3,2
VCOMP20,0,R6,1
VCOMP20,1,R6,2
VCOMP21,0,R11,2
VCOMP21,1,R11,1
VCOMP22,0,R14,1
VCOMP22,1,R14,2
VCOMP23,0,R7,1
VCOMP23,1,R7,2
